Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
ar-mda-kb2-luc-agonist	57-83-0	Progesterone	1	1.1	1.1739999999e-9	2.626e-9	5.871e-9	1.3129999999e-8	2.9349999999e-8	6.564e-8	1.468e-7	3.282e-7	7.339e-7	1.641e-6	3.669e-6	8.205e-6	1.835e-5	4.102e-5	9.173e-5	1.18263531	2.48266355	1.51578025	1.48927612	4.49209447	6.5474142	10.04573283	19.41469388	33.58283605	47.20073786	57.23838196	94.75821493	80.46839933	45.06048309	-5.44501103	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ar-mda-kb2-luc-agonist	NOCAS_49550	NTP Mix95 ER AR1 18-EQP	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	5.38199815	8.22637946	23.61121213	56.34308995	76.24009926	121.65137223	164.20625974	215.46737478	279.19399841	316.61814703	317.63238904	340.29859937	366.6199504	360.54868188	352.89650611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	NOCAS_49540	NTP Mix85 ER AR1 18-EQC	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	0.91317061	1.96474209	1.24645236	1.53901147	0.33816407	0.960271	5.7769496	24.64330177	47.94557793	75.70954654	134.23868296	188.60735724	224.59785434	258.2239088	298.63316799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	NOCAS_49501	NTP Mix8 AR1 8-EQC	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	0.16346738	2.79026147	2.25061511	9.63394374	21.03820023	54.19668167	120.19066104	180.26217308	238.22408973	332.53082262	337.32825734	342.62691739	359.75156488	335.37039212	448.83328906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	34256-82-1	Acetochlor	1	4	1.125e-9	2.516e-9	5.6259999999e-9	1.2579999999e-8	2.8129999999e-8	6.29e-8	1.4069999999e-7	3.1449999999e-7	7.033e-7	1.5729999999e-6	3.516e-6	7.863e-6	1.7579999999e-5	3.931e-5	8.7909999999e-5	-0.63344789	0.92161681	0.60169789	2.0617608	1.33278993	0.92163144	1.04208517	1.48883379	1.24448363	0.58061894	-0.89439778	-1.53420097	-1.5772722	-3.13476236	-8.73739326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	NOCAS_49519	NTP Mix98 ER1 10-EQC	1	4	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	2.18551374	1.74215925	0.34594267	0.41055898	1.07868966	0.84372552	1.01757162	1.00080025	0.18017291	-0.18496373	0.21865607	1.3480681	1.5188622	1.74858802	1.63324701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	NOCAS_49509	NTP Mix16 AR1 8-EQC	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	11.03219875	19.77656752	42.94114813	94.25860895	131.3081492	210.45157258	273.86350743	259.90002613	393.18098861	350.01406406	336.91076462	335.29126845	318.14477318	345.829559	322.44904539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	80-05-7	Bisphenol A	1	4	1.1689999999e-9	2.6129999999e-9	5.843e-9	1.3059999999e-8	2.9209999999e-8	6.532e-8	1.461e-7	3.2659999999e-7	7.3029999999e-7	1.6329999999e-6	3.652e-6	8.1649999999e-6	1.826e-5	4.0829999999e-5	9.129e-5	-1.58077587	2.91798363	1.48661741	-0.80203715	0.06912863	-0.5359517	-0.59945531	0.83540964	1.46629774	-0.66037992	-0.5334993	-1.13465571	-1.98802296	-1.85327745	-4.49990917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	NOCAS_49515	NTP Mix117 ER1 5-EQP	1	4	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-0.34389219	1.01493935	-0.25030431	-0.37586568	-0.37123033	-1.17390368	0.00912616	0.10242749	1.24550443	1.13196094	-0.0444841	-0.67550662	-0.61492987	1.44618508	-0.01228026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ar-mda-kb2-luc-agonist	NOCAS_49529	NTP Mix109 ER1 10-EQC	1	4	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-0.37529887	0.26148211	-0.12962161	0.29690519	-0.48452754	0.98923332	1.48466268	-0.0307593	0.62140593	0.56244256	-0.26944277	0.52514194	-0.37833965	0.09625257	-0.01319778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
