Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
tox21-ar-bla-agonist	NOCAS_49527	NTP Mix107 ER1 10-EQC	1	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-11.71102977	-0.32522431	-7.75896167	0.04681987	-2.16618339	-0.07414006	0.44068889	7.37150744	2.84150284	-5.17897153	-10.30074927	-5.58762224	-9.33027812	-0.24037728	-2.04281048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49494	NTP Mix1 AR1 4-EQP	1	2.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-6.74685019	-3.0430047	-0.99811748	-1.48481463	3.38154921	14.31469805	-5.88340906	3.74798614	26.87741939	23.36224253	26.56764351	34.88901394	53.37146317	41.94226067	67.40427825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49548	NTP Mix93 ER AR1 18-EQP	1	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-4.71960723	0.89727944	2.29361248	0.96132188	13.76873626	17.44547205	28.83263867	45.48043018	51.7890214	49.66819182	65.96536804	81.08087634	85.8336104	82.80813928	107.29757405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49562	NTP Mix30 AR2 7-EQP	1	2.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-15.39434238	0.21902688	-0.96912993	8.53376137	0.18050542	27.56318185	48.55164084	71.97811733	68.00140018	81.29657598	80.91062944	89.79659455	111.34822624	127.43375657	159.49708971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49502	NTP Mix9 AR1 8-EQC	1	2.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-0.2766854	0.85656523	0.20784815	15.79343644	-1.80700349	11.32119896	17.83245812	42.66182136	23.92972618	24.20419718	26.24022468	34.35740651	57.28786618	55.48848651	75.11209673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49534	NTP Mix114 ER1 10-EQC	1	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	2.27997895	-0.18604704	10.63602326	-8.65060401	-2.19135135	10.68577345	3.19541583	7.16495612	-6.07734732	10.13843363	-5.55414656	-0.42021506	-0.31826336	5.17193825	-0.87532876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49514	NTP Mix118 ER1 5-EQP	1	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	3.56757928	-6.78911585	-0.07687396	-5.76394233	-6.78848319	-0.01164566	-0.07596448	7.52329493	-4.56004266	-0.94274008	-5.70006615	-0.00847571	-4.55899264	-4.80421094	0.01143608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49495	NTP Mix2 AR1 4-EQP	1	2.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-2.840048	-0.1481585	-0.15315055	-1.3898129	-1.49790755	13.80511639	9.28610306	31.31111031	17.79350002	40.81702747	26.30222178	35.02390931	71.64995212	66.46756573	82.92871015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49550	NTP Mix95 ER AR1 18-EQP	1	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-1.93372804	-0.03967444	-2.48298767	1.03789104	24.35748847	39.54335182	30.86390533	54.73751598	77.14409205	67.60479637	81.19353131	83.75817741	103.62579812	127.86246337	131.56745202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	85-68-7	Benzyl butyl phthalate	1	4	9.7909999999e-10	2.1889999999e-9	4.896e-9	1.0949999999e-8	2.4479999999e-8	5.473e-8	1.2239999999e-7	2.7369999999e-7	6.1199999999e-7	1.368e-6	3.06e-6	6.8419999999e-6	1.53e-5	3.421e-5	7.649e-5	-4.69108638	-0.46846554	-5.64280335	-7.16463036	-3.83753674	-7.87466812	-5.09388064	-6.91448832	-16.83171956	-6.4982e-4	-12.76245493	2.4687833	-14.47036126	10.32248615	-12.20455268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
