Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
tox21-er-bla-agonist	NOCAS_49497	NTP Mix4 AR1 8-EQC	1	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.78533026	0.61144953	0.06589102	-0.08232147	-0.0607308	0.97890725	0.05355556	0.6531191	-0.19713792	-0.1039501	-0.08486263	-0.27799129	-0.06367399	0.675732	0.03486615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49548	NTP Mix93 ER AR1 18-EQP	1	3	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.85676924	-0.14737669	0.12155592	0.10891545	-0.85918323	0.43117619	0.05126102	0	-0.66567622	-0.79167668	0.2370368	0.12278861	0.01438947	2.42993494	33.39546332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49525	NTP Mix105 ER1 10-EQC	1	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.10560676	-0.4519552	-0.20259319	-0.1852233	-0.38420491	-0.47142582	-0.0102522	-0.3008923	-0.43523316	-0.53014553	-0.85923411	-0.69177556	-0.61551523	-0.72210066	0.55323473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49494	NTP Mix1 AR1 4-EQP	1	2.4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.43202765	-0.36352918	-0.58752026	-0.13377238	-0.22411953	0.29824899	-0.64588887	-0.89230131	-0.37305699	-0.65488565	-0.15911743	-0.57098935	-0.06367399	0.60175055	12.57762222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49519	NTP Mix98 ER1 10-EQC	1	2.4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.30963767	-0.22350946	0.44177768	-0.77906207	-0.70902733	0.39159328	-0.07826621	-0.43449148	-0.53731848	8.953e-4	-0.2049098	-0.20846594	-0.05651278	0.70113687	9.62507642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49561	NTP Mix31 AR2 7-EQC	1	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.27888012	-0.0786009	-0.32588079	-0.43167204	0.39007102	-0.00962094	0.26654126	-0.66232674	-0.3508008	-0.59053236	-0.05303914	-0.3960999	-0.06367399	-0.38424713	0.09032404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49545	NTP Mix90 ER AR1 18-EQP	1	3	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.04917524	-0.08842602	-0.03038898	-0.27837089	0.31466653	0.08658842	-0.32811276	0.2266168	0.01036269	0.04158004	-0.01527317	-0.55853911999999994	0.68507767	3.15293009	17.93836232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	34256-82-1	Acetochlor	1	4	9.3599999999e-10	2.0899999999e-9	4.6799999999e-9	1.05e-8	2.34e-8	5.23e-8	1.17e-7	2.61e-7	5.8499999999e-7	1.31e-6	2.92e-6	6.54e-6	1.4599999999e-5	3.27e-5	7.3099999999e-5	0.5984646	2.02562829	1.1745637	0.58493996	0.40127392	1.00366151	1.20842547	1.27400001	0.56784013	0.77729151	1.39640937	1.28927345	0.88758033	-0.25779677	0.37527443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	85-68-7	Benzyl butyl phthalate	2	1.2	9.79e-10	2.19e-9	4.8999999999e-9	1.09e-8	2.45e-8	5.4699999999e-8	1.2199999999e-7	2.74e-7	6.1199999999e-7	1.37e-6	3.06e-6	6.84e-6	1.53e-5	3.42e-5	7.65e-5	-0.07968091	-2.7919607	1.51881366	0.72579577	0.23124806	0.03828484	-0.05125716	0.27690118	0.5016654	1.14855801	2.8813994	5.38771533	19.08984848	30.87605531	32.36499621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49498	NTP Mix5 AR1 8-EQC	1	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.67275634	0.62750007	0.28971205	-0.47884122	-0.58523974	0.58740748	-0.42549136	1.01054695	-0.01650809	-0.18315142	-0.02956726	-0.59367614	-0.04022912	0.62322389	7.27917034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49541	NTP Mix86 ER AR1 18-EQP	1	3	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.19378584	-0.54372625	-0.05612516	-0.45936859	-0.63894491	0.18088197	-0.38566623	-0.3910955	-0.61850707	-0.46471478	-0.0300397	0.03294169	-0.0194679	1.5315139	21.49480865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49532	NTP Mix112 ER1 10-EQC	1	3	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.1344086	-0.83682814	-0.3236312	-0.54887489	0.16008538	0.06734655	0.09226984	-0.43102998	-0.18147376	0.07276507	0.76293517	-0.18546318	0.10612332	1.55572876	19.59439392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	76-43-7	Fluoxymestrone	2	4	9.86e-10	2.2e-9	4.93e-9	1.1e-8	2.46e-8	5.51e-8	1.23e-7	2.76e-7	6.16e-7	1.38e-6	3.0799999999e-6	6.8899999999e-6	1.5399999999e-5	3.4399999999e-5	7.7e-5	0.08536585	-2.30696724	0.40855585	1.81154632	0.68059568	0.1020929	1.41766117	1.30101156	0.73893568	1.36213061	0.55011257	0.73430322	3.18377199	1.97208999	6.74481289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	80-05-7	Bisphenol A	1	1.2	9.72e-10	2.17e-9	4.8599999999e-9	1.09e-8	2.43e-8	5.4299999999e-8	1.2099999999e-7	2.72e-7	6.07e-7	1.36e-6	3.0399999999e-6	6.7899999999e-6	1.5199999999e-5	3.39e-5	7.59e-5	0.16867621	0.10045506	1.84716548	0.66292508000000006	0.68135516	1.40198477	1.970194	0.46668772	4.216538	13.83684544	22.88582383	34.08006836	34.2404163	36.72256401	19.26623319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tox21-er-bla-agonist	50-02-2	Dexamethasone	2	4	9.93e-10	2.22e-9	4.9599999999e-9	1.11e-8	2.4799999999e-8	5.55e-8	1.24e-7	2.78e-7	6.21e-7	1.3899999999e-6	3.1e-6	6.94e-6	1.55e-5	3.47e-5	7.7599999999e-5	-0.02439024	-2.15636701	0.34098076	2.34373827	0.43852654	-0.08933129	0.84820063	1.35728564	2.02759511	1.59294089	1.35771372	0.88214438	14.22006643	-0.71525527	0.93527297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49501	NTP Mix8 AR1 8-EQC	2	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.55152042	-0.78567334	-0.57650822	0.12077693	-0.26103274	-0.24860952	-0.53294317	0.70523289	1.01742379	0.98468828	0.19594856	2.53111979	13.27723191	-0.47157462	-0.7013044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tox21-er-bla-agonist	NOCAS_49531	NTP Mix111 ER1 10-EQC	2	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.12195122	0.03518236	0.84949846	0.0377596	0.11932013	-0.79909952	-0.03694126	1.66555968	0.52307328	1.40397681	2.83675725	1.98000022	8.47635775	7.51882403	24.92540094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49529	NTP Mix109 ER1 10-EQC	2	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.06181999	-0.06998801	0.19231525	0.3914183	0.20537542	-0.44524558	0.45657193	-0.49678763	-0.35571182	0.00100409	3.12659328	3.0495063	7.88373296	10.64808919	24.08125749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
