Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
er-luc-bg1-4e2-agonist	NOCAS_49532	NTP Mix112 ER1 10-EQC	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	1.33541728	-6.21543999	-6.63857782	-1.81886189	-0.05408427	2.31021655	0.89154154	0	13.40909852	30.76157851	47.45509152	54.48180114	79.65866066	75.15045151	85.3772856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49530	NTP Mix110 ER1 10-EQC	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	3.39607673	0.25007051	-10.53973955	0	-0.94242647	4.69272256	-1.59582237	0	13.11969893	14.1815937	35.00802144	46.97779244	57.6461252	65.08013461	66.684377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	15972-60-8	Alachlor	1	4	1.148e-9	2.567e-9	5.7409999999e-9	1.284e-8	2.87e-8	6.418e-8	1.4349999999e-7	3.209e-7	7.176e-7	1.6049999999e-6	3.5879999999e-6	8.023e-6	1.794e-5	4.011e-5	8.97e-5	0.64661976	1.75109167	1.68240816	-1.14182043	-3.37592801	-0.82665464	-0.35025518	-2.75350878	-2.26019167	-2.61930886	2.31045694	-1.721868	0.7538284	0.40956868	-7.10017699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49512	NTP Mix19 AR1 8-EQC	1	2.2	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	2.86767616	2.91126407	2.51085932	1.58259145	9.42065789	11.29168188	21.39871189	8.56363704	35.52179475	25.44716462	33.6456882	36.97171704	46.48356376	52.01357995	30.22166931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
er-luc-bg1-4e2-agonist	50-02-2	Dexamethasone	1	4	1.194e-9	2.671e-9	5.9709999999e-9	1.335e-8	2.986e-8	6.676e-8	1.493e-7	3.338e-7	7.464e-7	1.669e-6	3.732e-6	8.345e-6	1.866e-5	4.1729999999e-5	9.3299999999e-5	3.65608494	-2.9222803	1.60580721	-8.23400743	3.92483443	4.23864634	3.88367063	0	10.45215953	7.89234634	4.9971096	0.27493973	1.1065439	4.73433121	1.4151735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49553	NTP Mix23 AR2 2-EQP	1	-2.4	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	0.38867284	2.69194706	2.69969338	7.87792637	0.54523539	3.45980863	6.9979246	10.34498639	7.78104047	8.21841536	10.75602332	3.0390777	-0.30276404	-2.56680892	-22.36929563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49551	NTP Mix21 AR2 2-EQP	1	1.2	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-0.33661577	-1.41458494	-2.94066007	10.02374284	-0.03565579	-6.254556	-0.862523	-0.68125953	-1.73549304	5.28220817	11.82633626	26.43940607	44.94144114	44.8139946	-5.67124223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
er-luc-bg1-4e2-agonist	NOCAS_49510	NTP Mix17 AR1 8-EQC	1	1.2	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-1.28879997	-2.2934694	-1.90991813	2.96261363	-1.35632308	2.56933423	17.45005722	1.76300903	33.57989697	31.338359	33.08478509	36.26972047	33.16819524	37.20206524	56.85867899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49515	NTP Mix117 ER1 5-EQP	1	1.2	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	1.16801076	2.56103136	-3.80264445	0	1.97147376	0.26570505	0.13962451	-8.84313261	0.0595268	2.10571271	8.13162288	20.21767237	34.95375984	45.95509602	54.02438895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49506	NTP Mix13 AR1 8-EQC	1	2.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-3.95327535	-3.40782144	0.88330196	-0.63112838	0.62515671	1.34712358	1.37135731	0.81982836	17.68970316	25.27871849	27.27311278	50.23229759	51.42212382	61.01067074	94.00983363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49520	NTP Mix100 ER1 10-EQC	1	2.2	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-6.3077583	-2.37163833	-10.10117481	0	-3.84272882	-3.17969955	-4.57441952	-23.53394435	2.6173392	-4.81879996	-4.14999325	-0.29296431	1.46502913	11.18040957	38.23029848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49505	NTP Mix12 AR1 8-EQC	1	2.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	1.38922105	1.31532937	-1.08958808	1.6689835	8.03883383	9.52169584	17.8834977	13.83501892	33.30662488	32.56419205	39.98063773	42.64735375	49.59186168	53.88889519	70.68974094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49533	NTP Mix113 ER1 10-EQC	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	0.03793073	-5.9096868	-8.70656843	-3.08816486	0.18833949	3.139774	6.34113647	0	33.41063343	36.59749188	42.92702921	72.27364893	49.65183548	85.56298207	74.0709366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49497	NTP Mix4 AR1 8-EQC	1	2.2	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-0.89536713	-0.0377991	1.46568684	-9.794224	-18.54846058	0.39956685	0.88834667	-2.10384672	0	21.25274023	9.75548199	17.01358666	25.9720485	27.56944912	36.5025313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49519	NTP Mix98 ER1 10-EQC	1	2.2	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-3.52546876	-7.91978867	-6.54986254	0	-1.44647973	-1.19438781	-4.50785798	-18.84048105	-7.94140892	-9.5040356	2.27854123	8.09264025	23.57997481	35.21903266	44.97977799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49541	NTP Mix86 ER AR1 18-EQP	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-3.96359832	-0.38131084	-1.4536238	7.15064011	2.41703488	-0.51510344	7.59791617	27.07355751	53.84959965	49.96768765	69.1573968	88.94522703	102.97963412	87.00720209	93.09061283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	71-58-9	Medroxyprogesterone acetate	1	4	1.179e-9	2.6359999999e-9	5.895e-9	1.318e-8	2.9479999999e-8	6.591e-8	1.474e-7	3.296e-7	7.369e-7	1.648e-6	3.685e-6	8.239e-6	1.842e-5	4.12e-5	9.212e-5	5.87791014	7.10824302	1.42798419	2.57358906	6.88296936	6.78407334	6.37898922	9.65731883	10.45350151	9.72440163	8.0177016	13.46512026	8.25010918	-4.52922227	21.89134777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	80-43-3	Dicumyl peroxide	1	1.2	1.166e-9	2.6069999999e-9	5.829e-9	1.303e-8	2.9139999999e-8	6.517e-8	1.457e-7	3.2579999999e-7	7.286e-7	1.629e-6	3.6429999999e-6	8.146e-6	1.821e-5	4.073e-5	9.107e-5	1.47099096	-2.5222605	3.09427468	-1.26001943	5.9944173	-2.3158794	2.15902588	0.29844327	3.21751742	5.96310645	8.05253149	7.03661542	29.29519593	29.41664615	31.50718437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
er-luc-bg1-4e2-agonist	NOCAS_49537	NTP Mix82 ER AR1 18-EQC	1	1.1	5.8989999999e-10	1.319e-9	2.9489999999e-9	6.595e-9	1.4749999999e-8	3.297e-8	7.373e-8	1.6489999999e-7	3.687e-7	8.244e-7	1.843e-6	4.122e-6	9.217e-6	2.0609999999e-5	4.608e-5	-3.46085283	-6.54289315	-7.54172379	-0.33339683	0.86623763	7.69196716	8.3922347	-3.06137047	46.76377473	60.46400746	75.29202148	78.25213105	95.8313483	98.55123878	89.80428225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
